Tweet,Date
कोरोना संक्रममणबाट स्पेनकी राजकुमारीको निधन https://t.co/aGNfiYtf6u via @Annapurna_Post, Mar 28 2020 
कोरोना महामारीको पछिल्लो अवस्था : कुन देशमा कतिको मृत्यु कति संक्रमित ?(सूचीसहित) https://t.co/JYZ1zCAx8F, Mar 28 2020 
के पत्रिकाबाट सर्छ कोरोना भाइरस ? https://t.co/PLktgha9yS, Mar 28 2020 
कोरोनाबारे सूचना दिन सेनाले बनायो मोबाइल ‘एप’ https://t.co/wBdDkg6jHF via @Annapurna_Post, Mar 28 2020 
खाद्यान्न चाहियो ? भाटभटेनीलाई फोन गर्नुहोस्... https://t.co/Pv62IlWYR3 via Annapurna Post, Mar 28 2020 
आधाबाटोमा चीनले नै रोक्यो कोरोना परीक्षण ‘किट’ https://t.co/XALyVRx2KY via @Annapurna_Post, Mar 28 2020 
धमाधम बन्दै क्वारेन्टाइन र आइसोलेसन उपचारको तयारी शून्य https://t.co/dWDAz7ipQ2 via Annapurna Post, Mar 28 2020 
भारतबाट दैलेख आए ९ सय https://t.co/3RpHmwvm1o, Mar 28 2020 
कोरोना नियन्त्रण : सुदूरपश्चिम प्रदेशमा ४० करोडको कोष https://t.co/Lv6AVNcJ16 via Annapurna Post, Mar 28 2020 
तस्बिरमा लकडाउनको पाँचौ दिन : कोरोना त्राससँगै किनमेलमा भिडभाड https://t.co/e5mYMZijoh via @Annapurna_Post, Mar 28 2020 
गुल्मीमा ३१ जना क्वारेन्टाइनमा https://t.co/2oGiECCzu3 via Annapurna Post, Mar 28 2020 
लकडाउनको अवज्ञा गर्दै हाटबजार सञ्‍चालन https://t.co/wgeYvM7Lr7, Mar 28 2020 
ग्लोब्स र मास्क कालोबजारी गर्ने पक्राउ https://t.co/z3fYvUVNgu via Annapurna Post, Mar 28 2020 
आइसोलेसन वार्डबाटै बिरामी फरार https://t.co/NlS3bToASE via @Annapurna_Post, Mar 28 2020 
