Tweet,Date
हेटौंडा औद्योगिक क्षेत्रका ८० प्रतिशत उद्योग बन्द https://t.co/KLGkKjYx8o,Mar 28 2020 
ललितपुर ओसीसीई कम्पनीबाट सवा एक अर्बको स्वास्थ्य सामग्री @KrishnaAcharyaG https://t.co/iHKch9W6ST,Mar 28 2020 
कञ्चनपुर प्रशासनले बिहानको समयमा खुला हुने गरेको तरकारी बजार आइतबारदेखि पूर्णरुपमा बन्द गर्ने निर्णय गरेको छ । https://t.co/6XSvM0aI30,Mar 28 2020 
काठमाडौंबाट शनिबार दिनभर पोखरा लुक्ला ताप्लेजुङ र नेपालगन्जका लागि १९ वटा उद्धार उडान भएका छन् । https://t.co/OTBmhBdgv9,Mar 28 2020 
क्वारेन्टाइनमा १९ थरी सामान १४ बुँदे आचारसंहिता [तस्बिरहरु] https://t.co/4cEd7kJK1a,Mar 28 2020 
कोरोना परीक्षण किट किन्‍न कोरियामा १ करोड २० लाख संकलन https://t.co/gNTCJ78Irh,Mar 28 2020 
साझा पार्टीद्वारा कोभिड–१९ विरुद्ध लड्नका लागि सर्वदलीय ‘उच्चस्तरीय राजनीतिक संयन्‍त्र’ बनाउन माग @Sajha_Party https://t.co/m6Tlb7gvO5,Mar 28 2020 
'कोरोना-कैदी बनेर घरभित्र बसिरहेका मानिसलाई समय बिताउनु नै ठूलो उपलब्धि भइरहेको यदि हो भने यो समयमा जीवनका विविध पाटाहरु तथा संसारका अलग भागका अनेक कथाहरुको 'टेस्ट' किन नलिने? यो कथा हो इरानको। फिल्म हो 'टेस्ट अफ चेरी'। @yangesh30 https://t.co/NqRSKWk6Na,Mar 28 2020 
महामारी रोकथामको तयारीबारे राष्ट्रपतिले लिइन ब्रिफिङ @subedibinu https://t.co/df9hH0ryEP,Mar 28 2020 
कान्तिपुरको समाचार अब भाइबरबाटै [भाइबर प्रयोगकर्ताले एपको सर्च बारमा Kantipur Daily खोज्नुहोस् ।] https://t.co/GiY05ZmmmQ https://t.co/BAzHN0Jasv,Mar 28 2020 
जताततै पीपीई बनाउने होड गुणस्तर जाँच्ने कसले ? @krishnaktm https://t.co/TXG8bEg9Qb,Mar 28 2020 
गुणस्तरहीन भन्दै स्पेनले फिर्ता गर्‍यो चीनले दिएको परीक्षण किट्स https://t.co/TW9z2cJMK6,Mar 28 2020 
सहकारी बैंकबाट दुई दिनमा झिकियो झन्डै एक अर्ब @YagyaBanjade https://t.co/bvMW779tAF,Mar 28 2020 
चालक घर गएपछि खाद्यान्न ढुवानी गर्ने सवारी अड्किए @raju_c7 https://t.co/bd62Fl4jfx,Mar 28 2020 
'जनताले हामी सांसदहरूलाई यस्तै आपत्‌विपत् पर्दा सहयोग लिन र नियम कानुन राम्रो बनाउनका लागि पठाएका हुन्। हामी सांसदहरू पनि क्वारेन्टाइनमा बस्‍नुपर्छ ठीक छ। सामाजिक दूरी कायम गरौं । तर काठमाडौंमा बसेर होइन हामी आफ्‍नो निर्वाचन क्षेत्रमा आउनुपर्छ।' https://t.co/aMFKvkFLzN,Mar 28 2020 
@YugPathak लेख्छन्- कोरोना महाव्याधिको आयतन धेरै खतरनाक ढंगले सूक्ष्म गहिरो फराकिलो र कठोर छ। यसले युरोप–अमेरिकालाई पनि थला पारिसकेको छ। अहिलेसम्म नेपालमा कोरोना–विस्फोट भैसकेको छैन। तर हामी लकडाउनमा किन छौं? किनभने जुनसुकै बेला यो विस्फोट हुन सक्छ। https://t.co/iBDkl573mv,Mar 28 2020 
लक डाउनको अवज्ञा परासीमा साप्ताहिक हाटबजार सुचारु  https://t.co/DDuqlkGWhk,Mar 28 2020 
