Tweet,Date
Retail prices of vegetables have tripled over a week following a contraction in supply as transporters stay away due to virus fears. https://t.co/pYzYDgmAgV — by @PrasainKrishana,Mar 28 2020 
In the past few weeks Rolpa saw many migrant workers returning home but no strict measures are being taken to prevent them from mingling with the local population. https://t.co/RQndny3sNH — by Kashiram Dangi,Mar 28 2020 
Provincial government in Karnali scrambles to arrange for fully-functional quarantine facilities Around 80 people who returned from India in the past two weeks cooped up in a 28-room hotel in Birendranagar. https://t.co/EKqpC9UrKO — by Kalendra Sejuwal,Mar 28 2020 
People from the media banks government agencies and essential service providing agencies are seeking passes to operate vehicles during lockdown https://t.co/N9bSqne3JT — by @journo_shuvam,Mar 28 2020 
Villagers have more faith in the messages provided by Katuwals than those broadcast on radio and television say village officials https://t.co/rBWUqw1Zuu — by Hariram Upreti,Mar 28 2020 
Social media influencers have power and now is time to exercise it responsibly Given the impact social media influencers have on people and their information-disseminating prowess they may now be more powerful than ever. https://t.co/tp7iuXMJOc — by @ankitkhadgi,Mar 28 2020 
Local units work together with residents to curb people’s movement in a bid to slow down the spread of coronavirus https://t.co/bQ8LsY9eZS — by Ghanashyam Gautam and DIpendra Baduwal,Mar 28 2020 
The government’s unclear policy has forced them to shut down when people need them the most e-retailers said https://t.co/6ngAYgUDwf — by @PrasainKrishana,Mar 28 2020 
Out of the eight passengers from Nawalparasi on Air Arabia flight from Sharjah only one has come in contact https://t.co/PoylrJ311D — by Narayan Sharma,Mar 28 2020 
For many domestic violence survivors the lockdown means being locked in with their abusers As countries across the world go into lockdown over Covid-19 cases of domestic violence are rising. https://t.co/q8AeR41BAr — by @elishashr,Mar 28 2020 
Tourists stranded in Annapurna and Manaslu conservation area rescued and sent to Pokhara and Kathmandu Local administration still searching for other trekkers in the area. https://t.co/yXSKYI1kI9 — by Aash Gurung & Hariram Upreti,Mar 28 2020 
People in Rautahat who recently returned from India are yet to come in contact with local units Returnees are reluctant to stay in quarantine say local authorities. https://t.co/jTWICsdIJe — by Shiva Puri,Mar 28 2020 
In the past few weeks Rolpa saw many migrant workers returning home but no strict measures are being taken to prevent them from mingling with the local population. https://t.co/U1gk8um27W — by Kashiram Dangi,Mar 28 2020 
Provincial government in Karnali scrambles to arrange for fully-functional quarantine facilities Around 80 people who returned from India in the past two weeks cooped up in a 28-room hotel in Birendranagar. https://t.co/33I5sWuXdY — by Kalendra Sejuwal,Mar 28 2020 
Fifth Covid-19 case reported in Nepal The presence of the coronavirus was recently confirmed in a 19-year-old woman who returned from Belgium. https://t.co/O3I6NQ1gjL,Mar 28 2020 
Join The Kathmandu Post on Viber and stay updated on breaking news current affairs analysis opinions and stories from across Nepal and abroad. https://t.co/VaBM8zsVPA,Mar 28 2020 
BREAKING: Nepal reports a fifth case of Covid-19 in a 19 year old returnee from Belgium according to Ministry of Health and Population Spokesperson Bikash Devkota. Details to follow.,Mar 28 2020 
The fifth day of lockdown in photos https://t.co/xKv9haLs05 https://t.co/bkHSvNp7sl,Mar 28 2020 
People from the media banks government agencies and essential service providing agencies are seeking passes to operate vehicles during lockdown https://t.co/CulbeKm5eR — by @journo_shuvam,Mar 28 2020 
Family members of a 34-year-old man who tested positive for Covid-19 on Friday were put into isolation by the Seti Provincial Hospital on Saturday morning. https://t.co/eCdrmAtjlE — by Arjun Shah,Mar 28 2020 
Nepal Airlines plane sent to bring swab samples skids off runway in Nepalgunj All five persons two doctors and three cabin crew members on board the plane are safe: Airport officials. https://t.co/Zzvc2KCrXn,Mar 28 2020 
The French and German governments on Saturday launched a joint mission to repatriate their citizens from Nepal which has been under a lockdown since Tuesday morning to stem the spread of Covid-19. https://t.co/WavvbFhwc7,Mar 28 2020 
Social media influencers have power and now is time to exercise it responsibly Given the impact social media influencers have on people and their information-disseminating prowess they may now be more powerful than ever. https://t.co/tp7iuXv8pC — by @ankitkhadgi,Mar 28 2020 
Retail prices of vegetables have tripled over a week following a contraction in supply as transporters stay away due to virus fears. https://t.co/TfDguymvwc — by @PrasainKrishana,Mar 28 2020 
As U.S. virus cases exceed 100000 doctors decry scarcity of drugs and equipment https://t.co/LvhkZPrUXC,Mar 28 2020 
ANFA’s Chapur academy in Rautahat converted into a quarantine centre https://t.co/RhRo2ij0kw — by @PrajwalOli,Mar 28 2020 
Palata Rural Municipality’s disaster management committee has urged the people to self-isolate themselves in their homes and report to the health post if they show any symptoms of Covid-19 https://t.co/S3gUS5jSip — by Tularam Panday,Mar 28 2020 
It’s not just humans suffering under the lockdown—dogs are too https://t.co/GqURLZ8Qjb — by @AnupOjha7 & @TseringNgodupL1,Mar 28 2020 
Elected representatives claim they have fully-equipped health desks and isolation wards which is not true https://t.co/g97pJjgnhQ — by Laxmi Sah,Mar 28 2020 
This move comes at a time when the local authorities are struggling to keep track of people who have returned to their villages in the last two weeks https://t.co/Kd4xKf4reD — by Ghanashyam Khadka,Mar 27 2020 
Home Ministry directs grocery stores and supermarkets to deliver goods to consumers during lockdown https://t.co/6KseKue89L,Mar 27 2020 
Kalikot district administration says it has set up a 619-bed strong quarantine facility https://t.co/S3gUS5Bt9X — by Tularam Pandey,Mar 27 2020 
Kuwait allows migrant workers on leave to file visa renewal application online https://t.co/R7NskSkhPl — by @CK_Mandal,Mar 27 2020 
Lockdown helps control rapid spread of the virus but it also lessens chances of more tests https://t.co/IS2SRd6PKU — by @arjunpoudeltkp,Mar 27 2020 
The province 5 government and local councils have floated plans to ease the supply of goods during the ongoing nationwide lockdown. https://t.co/A77YWdq4n9 — by Ghanashyam Gautam & Dipendra Baduwal,Mar 27 2020 
The smugglers had reached the core area of the national park in search of wildlife during the lockdown period https://t.co/EfNOWhugSF — by Shankar Acharya,Mar 27 2020 
⚡️ “Stories you should not miss today” https://t.co/Q2srzrRuQr,Mar 27 2020 
Fourth Nepali tests positive for Covid-19 This case in a 34-year-old man who returned from the UAE brings the total number of live coronavirus cases to three. https://t.co/Ft7NCzoOqz — by @arjunpoudeltkp,Mar 27 2020 
Prime Minister KP Sharma Oli who was admitted to hospital on Thursday night for an increased heart rate was discharged on Friday evening. https://t.co/gMkvKIFqqQ,Mar 27 2020 
People from the media banks government agencies and essential service providing agencies are seeking passes to operate vehicles during lockdown officials say. https://t.co/CulbeKm5eR — by @journo_shuvam,Mar 27 2020 
Strawberry fields in Tarai producing good harvests The Golyan Group started commercial strawberry farming on 25 bighas in Bhagudubba. https://t.co/0Aa1sBtPA0 — by Arjun Rajbanshi,Mar 27 2020 
Nepali Congress President Sher Bahadur Deuba has called on the government to announce an economic relief package for poor people affected by the nationwide lockdown and disburse money at the earliest. https://t.co/yXSz18ws8Q — by @tikapradhan,Mar 27 2020 
British Prime Minister Boris Johnson has tested positive for coronavirus and is self isolating. https://t.co/n12gE2g3VH,Mar 27 2020 
A local unit in Myagdi has announced a cash prize for those who will come forward with information about recent arrivals from foreign countries. https://t.co/Kd4xKfm26b — by Ghanshyam Khadka,Mar 27 2020 
A meeting of provincial ministers and secretaries on Thursday decided to make a ‘Coronavirus Action Plan’ to combat the spread of the coronavirus in the rural areas of Karnali province. https://t.co/uiTY3zHVbD — by Kalendra Sejuwal,Mar 27 2020 
As the entire country collectively twiddles its thumbs looking for things to do during the lockdown some are taking online baking classes following a global trend of online cooking tutorials. https://t.co/hZSSosFXsT — by @ThomasHeaton__,Mar 27 2020 
Mind food: Eat well for mental health At times like these it’s just as important as ever to look after yourself and maintain a healthy diet—with whatever resources you have. https://t.co/sJa6FQf9LO,Mar 27 2020 
Online stores flooded with orders but cannot fulfil them for lack of delivery system The government’s unclear policy has forced them to shut down when people need them the most e-retailers said. https://t.co/6ngAYhcenN — by @PrasainKrishana,Mar 27 2020 
With lockdown in place Nepali theatre goes virtual Theatre Mall Kirtipur in collaboration with Theatre Centre for Children have started the Quarantine Campaign Theatre Festival 2020 which starts today. https://t.co/utuP7EUo7s — by @ankitkhadgi,Mar 27 2020 
A village in Gorkha employs heralds to raise awareness about the global pandemic https://t.co/rBWUqw1Zuu — by Hariram Upreti,Mar 27 2020 
Unverified information shared on social media puts a foreign returnee in a fix https://t.co/VJQd9n2sVb — by Dilliram Khatiwada,Mar 27 2020 
It’s not just humans suffering under the lockdown— dogs are too Street dogs are usually fed by neighbourhood stores and butcher shops which have all closed down and passers-by who’re all at home. https://t.co/fLAPhiMjUV — by @AnupOjha7 & @TseringNgodupL1,Mar 27 2020 
33 people on same flight as coronavirus-infected 19-year-old test negative Districts in Province 2 start tracing contacts of people who entered Nepal in the past two weeks. https://t.co/vi9hUV7qQ9 — by Ajit Tiwari and Abdesh Kumar Jha,Mar 27 2020 
