Tweet,Date
कटारी आईसोलेसनमा बसेका मग्राती फरार https://t.co/963tVTCSWp,Mar 28 2020 
कोरोना कहर रोक्न गाउँ–गाउँमा प्रहरी https://t.co/9jeWwKJ3wM,Mar 28 2020 
क्षेत्रीय आइसोलेसन स्थापना गर्न स्थानीय तहको पाँच/पाँच लाख https://t.co/fDVJzNdsMn,Mar 28 2020 
पीपिई मौज्दात रित्तिदै तनावमा स्वास्थ्यकर्मी https://t.co/TQyxrrmNGX,Mar 28 2020 
लकडाउन उल्लंघन गर्ने चर्चका दुई पाष्टर पक्राउ https://t.co/khgQL8kEzs,Mar 28 2020 
जनकपुरमा रगतको अभाव https://t.co/yc9qPqltSz,Mar 28 2020 
फिदिम नरपालीकाले बनायो द्रुत कार्यटोली https://t.co/rDDZj6H9dU,Mar 28 2020 
रौतहटमा ६० जनालाई क्वारेन्टाइनमा राखियो https://t.co/H3YauTNi3k,Mar 28 2020 
गोरखा नगरपालिकाले मुख्य बजार क्षेत्रमा क्लोरिन झोल छर्कियो https://t.co/HDucO59DsN,Mar 28 2020 
स्वदेश फर्किन चाहेनन् पर्यटक https://t.co/24EPKq36dN,Mar 28 2020 
आइसोलेसनमा उपचाररत तीन जनाको स्वाब संकलन https://t.co/w0ErOxgE5V,Mar 28 2020 
दाङमा दुई जनाको कोरोना रिपोर्ट नेगेटिभ https://t.co/vY1z6LWPtd,Mar 28 2020 
कोरोनाबारे जानकारी लिन १११५ र ११३३ का कल गर्नुस् https://t.co/vYH77YrzTE,Mar 28 2020 
पानीको महसुल छुट https://t.co/tihxJiyELj,Mar 28 2020 
जसले पुर्‍याइदिए विपन्नका घरघरमै चामलका बोरा https://t.co/XiqNCRcGPN,Mar 28 2020 
दोस्रो र पाँचौ संक्रमित किशोरी एउटै विमानमा थिए https://t.co/7c0ssSYI0J,Mar 28 2020 
नेपालमा कोराेनाको पाचौं संक्रमित फेला https://t.co/c8rFwycdEz,Mar 28 2020 
लकडाउन प्रभावित विपन्नलाई दाल चमल सहयोग https://t.co/UD922mGXhr,Mar 28 2020 
संक्रमण नफैलियोस भन्दै भगवती मन्दिरमा पूजा र बलि https://t.co/IMKY7LkqO2,Mar 28 2020 
ताप्लेजुङबाट ३ पर्यटकको उद्वार https://t.co/yzCPEpRM25,Mar 28 2020 
घरधनीसँग आधा महिनाको पैसा छुट दिन आग्रह https://t.co/kPdSIsE6N6,Mar 28 2020 
उच्च मनोबलले मात्रै कोरोनाविरुद्धको लडाईं जित्छौँ : अध्यक्ष दाहाल https://t.co/2JgY25xYHx,Mar 28 2020 
कोरियामा रहेका नेपालीले सरकारलाई १ करोड १५ लाख रुपैयाँ सहयोग गर्ने https://t.co/7Q7564AAXO,Mar 28 2020 
जिल्ला विपद् व्यवस्थापन समितिलाई सामग्री प्रदान https://t.co/2jDvpeDfZE,Mar 28 2020 
म्याग्दीमा कीटनाशक औषधि छर्न सुरु https://t.co/SSgFdJolYW,Mar 28 2020 
राष्ट्रसंघका ८६ कर्मचारी लाई कोरोना भाईरसको सङ्क्रमण https://t.co/ta0aIG4lGa,Mar 28 2020 
तनहुँमा विदेशबाट फर्किएका ४ सय १० जना https://t.co/ZnwUezS4aa,Mar 28 2020 
राष्ट्रसंघका ८६ कर्मचारीलाई कोरोना भाईरसको सङ्क्रमण https://t.co/ZQmfFyYszS,Mar 28 2020 
संक्रमित देशबाट फर्कनेलाई खोज्दै जनप्रतिनिधि https://t.co/NXhVh9yD4w,Mar 28 2020 
मनास्लु घुम्न गएका ३२ जना पर्यटकको उद्वार https://t.co/Y0JnQYMcNP,Mar 28 2020 
कोभिड –१९ :  बीस परीक्षण नेगेटिभ https://t.co/2uIgD09liN,Mar 28 2020 
कोरोना परीक्षण प्रयोगशाला स्थापना गर्न अन्यौल https://t.co/h8H3H34xkp,Mar 28 2020 
स्वास्थ्य सामाग्री लिन चीन उड्यो नेपाल एयरलाईन्सको जहाज https://t.co/t0kEga0yTU,Mar 28 2020 
सनराइज बैकद्वारा अस्पताललाई पीपीई हस्तान्तरण https://t.co/PK89WqD8RG,Mar 28 2020 
कोभिड –१९ :  बीस परीक्षण नेगेटिभ https://t.co/VaAaNHhPus,Mar 28 2020 
लकडाउन प्रभाव : ताप्लेजुङका तरकारी हाट पनि ठप्प https://t.co/6s89kCqEjK,Mar 28 2020 
पहिलो दिन १०५ जनालाई राखियो https://t.co/UfFHd0pBLj,Mar 28 2020 
दुई महिनाको घरभाडा छुट https://t.co/O6L7akiKl7,Mar 28 2020 
‘पाङग्राले रनवेमा नटेक्दै विमान झाडीमा पुग्यो’ https://t.co/au0G0R7Mhn,Mar 28 2020 
न्युयोर्कबाट आएकालाई यात्रामा प्रतिवन्ध https://t.co/O84vPRm5d5,Mar 28 2020 
ऐतिहासिक गढीमा राखिएको ढुंगाको तरबार तोडफोड https://t.co/GcVpBRxs1f,Mar 28 2020 
कोभिड–१९ बाट इटालीमा एकैदिन ९१९ को मृत्यु अमेरिकामा सङ्क्रमित १ लाख नाघ्यो https://t.co/BV14JpZR4T,Mar 28 2020 
रौतहटमा लकडाउनकै अवधिमा एक किशोरी बलात्कृत https://t.co/DMQdNEes9o,Mar 28 2020 
कोरोना भाइरसपछिको विश्व ? https://t.co/kf2mrCCOgK,Mar 28 2020 
यसरी बनाउँदैछ आविस्कार केन्द्रले पीपीई (तस्बिर) https://t.co/A4tBcDwEEv,Mar 28 2020 
तरकारी कुहियो ग्राहक महँगोमा किन्न बाध्य https://t.co/8WQEKzydgs,Mar 28 2020 
तरकारी कुहियो ग्राहक महँगोमा किन्न बाध्य https://t.co/eutzLXZiZh,Mar 28 2020 
कोरोनाबारे जानकारी दिन सरकारले अनलाइन ल्याउँदै https://t.co/Inu154TVL9,Mar 28 2020 
रसुवागढी नाका खोल्ने बारे अन्योल https://t.co/rTMwDs6c5n,Mar 28 2020 
कोरोनाविरुद्ध सामाजिक सञ्जालमा सन्देश https://t.co/PSMqVJ6BuL,Mar 28 2020 
बैतडीमा चितुवाको आक्रमणबाट महिला घाइते https://t.co/rnSDotYKV3,Mar 28 2020 
वडाध्यक्षद्वारा खाद्यान्न सहयोग https://t.co/1W6IkAwE41,Mar 28 2020 
प्रयोगशाला परीक्षण सुस्त परदेशबाट आउनेहरु निर्धक्क गाउँ डुल्दै https://t.co/J8MU4nIKy5,Mar 28 2020 
लकडाउन प्रभाव बारीमा तरकारी सड्दै बजारमा महँगो https://t.co/FfBk4krfXD,Mar 28 2020 
अन्धविश्वास कोरोना भ्रम : दलाई लामाको सन्देशको हल्ला चलेपछि आँगन खन्दै अँगार खोज्दै https://t.co/7v3HBXEtLi,Mar 28 2020 
आजदेखि प्रहरीको कडाइ बिहानै २००  नियन्त्रणमा https://t.co/fuhsUU0tin,Mar 28 2020 
दैनिक तीन घण्टा तरकारी हटिया सञ्चालन https://t.co/QNJKEfvXpy,Mar 28 2020 
कैदीबन्दी नै तयार छैनन् कारागार छाेड्न https://t.co/FURSA9Cqqs,Mar 28 2020 
कर्मचारीले अनिवार्य जम्मा गर्नुपर्ने https://t.co/FwCzFYLaKD,Mar 28 2020 
भ्रम फैलाउने पक्राउ https://t.co/u3X88YUtFl,Mar 28 2020 
लकडाउन प्रभाव : कहाँ कति प्रदुषणको मात्रा देखियो ? https://t.co/6xXVQDjmWS,Mar 28 2020 
यति बेला लकडाउन छ। अति आवश्यक सामान किन्न पसल जाँदै हुनुहुन्छ ? https://t.co/f2XDuA1O9s,Mar 28 2020 
सकारात्मक सोच्ने हँसाउने चलचित्र हेर्ने आफन्तसँग टेलिफोनमा कुराकानी गर्ने स्वस्थकर खाना खाने धेरै नखाने चिल्लो बढी नखाने घरभित्र व्यायाम योग भ-याङमा हिँडडुल गरेर सम्भावित स्वास्थ्य जोखिमबाट बच्न चिकित्सहरुले सुझाएका छन्। https://t.co/GtmoDHRy2A,Mar 28 2020 
दायरा बढाउँदा शंका लागेका बिरामीमात्र होइन इच्छुक अन्यले पनि परीक्षण गराउन पाउँछन्। https://t.co/zt1TdUbYzq,Mar 28 2020 
