Tweet,Date
बिरामी राख्न मान्दैनन् निजी अस्पताल https://t.co/j2DifN9Owh,Mar 28 2020 
लहानमा एक किसानले नि:शुल्क बाँडे १६ क्वीन्टल तरकारी https://t.co/LpXjB19DRA,Mar 28 2020 
कोरोना भाइरसको जाँच गर्न थ्रोट स्वाबको स्याम्पल लिन नेपालगन्ज आएको नेपाल एयरलायन्सको वाई १२ जहाज नेपालगन्ज विमानस्थलकाे धावनमार्गमा दुर्घटना भएको छ । https://t.co/8aAgGE6vR6,Mar 28 2020 
आइसोलेसन सामाजिक दुरी र तिव्र परीक्षण कोरोनाविरुद्ध मुख्य हतियार https://t.co/jjt9lAz3Av,Mar 28 2020 
कर्नाल बजाएर कोरोनाविरुद्ध सचेतना जगाउँदै गोरे नेपाली https://t.co/TEdEdW9FT5,Mar 28 2020 
क्वारेन्टाइन बस्न अस्वीकार गर्नेलाई नगरपालिकाले कारबाही गर्ने https://t.co/8VvMlRdSRB,Mar 28 2020 
पाल्पामा ७२ जना क्वारेन्टाइनमा कोरोना नियन्त्रणमा खट्ने कर्मचारीलाई प्रोत्साहन भत्ता https://t.co/dHJaJB0Vbs,Mar 28 2020 
भारतबाट आएका दुईजनालाई गाउँलेले छुट्टै घरमा क्वारेन्टाइनमा राखे https://t.co/s8Vu86ZXip,Mar 28 2020 
घर-घरमा गएर फोहोर उठाउन सरकारको निर्देशन बाहिर फाल्नेलाई कारबाही https://t.co/vIHxtC4qUG,Mar 28 2020 
विश्वव्यापी रूपमा देखिएको कोभिड– १९ अर्थात् महामारीको संक्रमण रोक्न विश्व बैंकले नेपाललाई तीन अर्ब नेपाली रुपैयाँ ऋण दिने भएको छ । https://t.co/y0pR2NrtU5,Mar 28 2020 
संक्रमितका परिवार र सम्पर्कमा आएका व्यक्तिको नमुना संकलन गरिँदै https://t.co/p2c8AQp7Qi,Mar 28 2020 
नेपालमा कोरोना संक्रमितको संख्या पाँच पुग्यो  https://t.co/BfafWpWY6a,Mar 28 2020 
मन्त्रालयले आजैदेखि घरघरमा फोहोर संकलक पठाई त्यसको समुचित व्यवस्थापनमा लाग्न देशभरका सम्पूर्ण महानगरपालिका उपमहानगरपालिका नरपालिकाहरुलाई निर्देशनात्मक अनुरोध गरेको छ । https://t.co/o1zQW1aZdZ,Mar 28 2020 
कोरोना महामारी: इटालीमा एकैदिनमा नाै सयभन्दा बढीको मृत्यु https://t.co/TOqDl3rFDi,Mar 28 2020 
चीनको ग्वान्जाओबाट पिपिईसहित १९ स्वास्थ्य सामग्री आउँदै तर ल्हासाबाट आउने सामान अचानक रोकियो https://t.co/P9hAlmgnJa,Mar 28 2020 
युनाइटेड अरब इमिरेट्स (युएई)मा थप दुईजना नेपालीलाई कोरोना भाइरस (कोभिड १९)को संक्रमण देखिएको छ । https://t.co/Thv3sTTXmB,Mar 28 2020 
सल्यानमा २० क्वारेन्टाइन र पाँच आइसोलेसन बेड तयारी अवस्थामा https://t.co/t53pjQI1af,Mar 28 2020 
काभ्रेका स्थानीय तहमा कोरोनानाशक औषधि छरिने https://t.co/hSF5hBZxA0,Mar 28 2020 
१७ वर्षीया किशोरी बलात्कृत https://t.co/hLtRGeL5Pt,Mar 28 2020 
कोरोना परीक्षणका सामान लिन नेपाल एयरलाइन्सको जहाज चीन उड्यो  https://t.co/fhbUzK9XJA,Mar 28 2020 
संकटको यो अवस्थामा गरीब र असहायहरुको सहयोगमा मूठी फुकाउन नीजि क्षेत्रका व्यवसायीहरुसँग पनि अपिल गर्दछु https://t.co/99hQ2dLqSi,Mar 28 2020 
काेराेना सतर्कता : घलेगाउँमा पर्यटक राखे ५० हजार जरिवाना  https://t.co/o5ZQCamrfY,Mar 28 2020 
थ्रोट स्वाब लिन पुगेको नेपाल एयरलायन्सको विमान अवतरणकाे क्रममा नेपालगंजमा दुर्घटना सबै सकुशल https://t.co/8aAgGE6vR6,Mar 28 2020 
पक्राउ पर्नेमा ३० जना महिला र ४ सय ५२ जना पुरूष छन् । https://t.co/9CYrkc1mCp,Mar 28 2020 
नेतृको ‘लकडाउन’ रुटिन https://t.co/GfpDAaF44Z,Mar 28 2020 
अब सरकारले चाल्नुपर्ने कदम के हुन् ? https://t.co/jsuRmS7JR0,Mar 28 2020 
महामारीमा सडक बालबालिका कहाँ बस्ने ? https://t.co/pahJrKHUfA,Mar 28 2020 
कसरी हुन्छ नयाँ रोगको उत्पत्ति ? https://t.co/N5fo484duN,Mar 28 2020 
चैतभर बिमाशुल्क संकलन कार्य स्थगित https://t.co/6f5QM88WjV,Mar 28 2020 
