Tweet,Date
एबोटले बनायो ५ मिनेटमै कोरोना परीक्षण गर्ने उपकरण अमेरिकाले गर्‍याे प्रमाणीकरण https://t.co/7avNjNNd7u via @nepalkhabar,Mar 28 2020 
कोरोना संक्रमण सामना गर्न नेपाललाई अमेरिकाका माइक्रोबायोलोजी अनुसन्धानकर्ताका यस्ता सुझावः कोरोना कसैले बनाएर छाडेको भाइरस हो? यसाे भन्छ अनुसन्धान https://t.co/hmMl3BcbGW via @nepalkhabar,Mar 28 2020 
कोरोना संक्रमितसँगै आएका युवाको बयान : कसैले हेरेन छिःछिः र दूरदूरमात्रै गरे https://t.co/BaSKsvM5HI via @nepalkhabar,Mar 28 2020 
स्वास्थ्यकर्मीको मनोवल गिराउने समाचार सम्प्रेषण नगर्न आग्रह https://t.co/NC4RuTMB5j via @nepalkhabar,Mar 28 2020 
चीनबाट आउने कोरोना परीक्षण किट हवाई मार्गबाटै ल्याउने तयारी https://t.co/3rhiIYckDF via @nepalkhabar,Mar 28 2020 
पेट्रोलियम पदार्थको नियमित आपूर्ति भइरहेको र अभाव नभएको मन्त्रालयको दाबी छ। सरकारसँग २४ हजार ६ सय १६ मेट्रिक टन खाद्यान्न मौज्दात https://t.co/2mbS0PDDBi via @nepalkhabar,Mar 28 2020 
सरकारसँग २४ हजार ६ सय १६ मेट्रिक टन खाद्यान्न मौज्दात https://t.co/pl7wQMn0eP via @nepalkhabar,Mar 28 2020 
एबोटले बनायो ५ मिनेटमै कोरोना परीक्षण गर्ने उपकरण अमेरिकाले गर्‍याे प्रमाणीकरण https://t.co/7DfjM1Lnnl via @nepalkhabar,Mar 28 2020 
मुख्य रूपमा खोक्दा वा हाछ्युँ गर्दा मानिसबाट मानिसमा सर्ने यो भाइरसले श्वासप्रश्वास प्रणालीमा संक्रमण गर्छ। https://t.co/KRDalTXKeR via @nepalkhabar,Mar 28 2020 
एबोटले बनायो पाँच मिनेटमै कोरोना परीक्षण गर्ने उपकरण अमेरिकाले गर्यो प्रमाणीकरण https://t.co/be0SZOfATT via @nepalkhabar,Mar 28 2020 
एनआईसी एशियाको अफरः घरै बसी सपिङ पनि छुट पनि https://t.co/MfZsm9CqTm via @nepalkhabar,Mar 28 2020 
सवारी पासको दुरुपयोग गर्दै मान्छे खोज्दै पर्यटकीय बाहनहरु! https://t.co/jpNhY3CeyW via @nepalkhabar,Mar 28 2020 
संक्रमित युवतीको छेउमै बसेकी महिलाको किन गरिएन तुरुन्तै परिक्षण? https://t.co/WrJoQA9K8l via @nepalkhabar,Mar 28 2020 
मास्क कालोबजारी गर्ने औषधि व्यवसायी पक्राउ https://t.co/e5Vxn7Sf1M via @nepalkhabar,Mar 28 2020 
