Tweet,Date
पाँचौं कोरोना संक्रमितबारे चार दिनअघि नै बाग्लुङ अस्पताल पुगेको थियो जानकारी https://t.co/k1BQmmQLmJ,Mar 28 2020 
लाइन लागेर फर्किए विदेशी पर्यटक [२० तस्बिर] https://t.co/ogMa2vD2N1,Mar 28 2020 
कोरोनाको कहरमा पनि कमिसन चक्कर सरकारको नाममा व्यापारीको सामान लिन चीन उड्यो वाइडवडी https://t.co/y3fxoHiNrJ,Mar 28 2020 
देश तथा विदेशमा ३२ नेपाली कोरोना संक्रमित तीनको मृत्यु https://t.co/O4WCWdjm3E,Mar 28 2020 
कोरोना संक्रमितकाे संख्या ६ लाख नाघ्यो २८ हजार बढीको मृत्यु https://t.co/tulXH9nMrJ,Mar 28 2020 
अप्रिल २ मा पुनः गोन्जाव जाँदै नेपाल एयरलाइन्सको वाइडबडी https://t.co/PUKIsrNwlK,Mar 28 2020 
कतार एयरवेजका ३ उडानबाट युरोपियन देशमा ९ सय ९ नागरिक लगियो https://t.co/h6xRhhnwB9,Mar 28 2020 
अप्रिल १ मा नेपाल एयरलाइन्सको वाइडबडी अस्ट्रेलिया जाने https://t.co/LUAXu4UQeJ,Mar 28 2020 
परीक्षण किट राजधानीलगायत प्रारम्भिक परीक्षण केन्द्रमा आवश्यक मात्रामा उपलब्ध हुनुपर्छ। प्रत्येक नमूना परीक्षण केन्द्र र उपचारकहरुको छुट्टै टिम खडा गरिनुपर्छ। @GauriKarki को आलेख https://t.co/SDyjorXDn4,Mar 28 2020 
समाजवादीले कोरोना कोषमा १० लाख सहयाेग गर्ने https://t.co/ML0b08oAb8,Mar 28 2020 
कोरोनाको पाचौं संक्रमित बेल्जियमबाट आएकी महिला https://t.co/ntxIRtRVIT,Mar 28 2020 
अष्ट्रेलियामा सात नेपाली कोरोना संक्रमित सबै 'होम आइसोलेसन'मा https://t.co/tlLbxshH3Y,Mar 28 2020 
संकटमा सहयोग गर्न निजी क्षेत्रलाई प्रचण्डको अपिल https://t.co/gRRJX0iCVA,Mar 28 2020 
विगत चियाउने ‘कोटेश्वरको केटो’ https://t.co/T3Cyi0jXLb,Mar 28 2020 
राष्ट्रसंघका ८६ कर्मचारीलाई कोरोना संक्रमण https://t.co/hXosJVrYWd,Mar 28 2020 
यसबाट छोटो समयमै कोरोना संक्रमित हो वा हैन भन्ने पत्ता लगाउन सजिलो हुनेछ। https://t.co/PFqcjCod74,Mar 28 2020 
कोरोना संक्रमणको डरले उत्पन्न मानिसक समस्याबाट कसरी छुट्कारा पाउने? https://t.co/yaoiCR7iMv,Mar 28 2020 
कथा : यात्रा यतिका वर्षसम्म उसँग एउटै हस्पिटलमा काम गरेपछि मलाई पनि उप्रति फिलिङस् नआएको पटक्कै हैन तर मैले विवाह गरें भने मेरो दुई छोरीको के हुन्छ ? अठार वर्ष नपुगुन्जेल त उनीहरू मेरो जिम्मेवारी हुन्। https://t.co/SccpZ2v91G,Mar 28 2020 
दैनिक मजदुरी गर्नेलाई राहत प्याकेज उपलब्ध गराउने सुदूरपश्चिम सरकारकाे निर्णय https://t.co/SExl42XBrk,Mar 28 2020 
अमेरिकाको न्युयोर्कबाट आएका व्यक्तिलाई विभिन्न राज्यमा हिडडुल गर्न प्रतिवन्ध लगाइएको छ। https://t.co/299a3rihhH,Mar 28 2020 
नेपाल एयरलाइन्सकाे टि्वनअटर जहाजले नेपालगञ्जबाट कोरोना परीक्षणका लागि संकलन भएको नमुना ल्याउने भएको छ। https://t.co/YnKwthRXUz,Mar 28 2020 
