Tweet,Date
काठमाडौं महानगरपालिकाका सबै स्थानबाट नियमित फोहोर उठाइनेछ : मेयर शाक्य https://t.co/4FFiLbER3Y,Mar 28 2020 
बेलायतमा कोभिड-१९ बाट पहिलो मृत्यु भएको १३ दिनपछि मृत्यु हुनेको संख्या १०० पुुगेको थियो। त्यसको १० दिनपछि अहिले एक हजार नाघेको छ। https://t.co/fZixASewEE,Mar 28 2020 
विमानमा बाग्लुङबाट दुई जना आएको थाहा पाएपछि प्रशासनलाई खबर गर्‍यौं। तर प्रशासनले कुनै काम गरेन। उनीहरु निर्वाध रुपमा घुम्दै हिँडेका थिए। एकजनामा ज्वरो आउँदासमेत अस्पताल गएको पाइएन। आज आएर दुई जनामध्ये एक जनामा भाइरस देखियो। अर्कीको परीक्षण पनि भएको छैन। https://t.co/Bah4pB1XYo,Mar 28 2020 
लकडाउनका कारण पोखरामा रोकिएका १४८ पर्यटकलाई बसमार्फत पठाइयो काठमाडौं https://t.co/2AoEqMic7u,Mar 28 2020 
कोभिड-१९ सँग लड्न अमेरिकाले नेपाललाई १८ लाख अमेरिकी डलर सहयोग गर्ने भारतलाई २९ लाख डलर https://t.co/oPuii8mAWS,Mar 28 2020 
भाइरसबाट संक्रमित देशको सूचीमा नेपाल पर्दासम्म विश्वले भाइरसलाई हल्का रुपमा लिइरहेको थियो। नेपालले पनि। ढिलो गरेर हेल्थ डेक्स राखिए पनि विमानस्थलमा शरीरको तापक्रम जाँच गर्ने बाहेक अरु खासै काम भएन https://t.co/Bah4pB1XYo,Mar 28 2020 
प्रधानसेनापति थापाको निर्देशन : बहादुरी होइन बुद्धि र विवेक प्रयोग गर्नुस् https://t.co/x7me7MVePA,Mar 28 2020 
माथिल्लो निकायको प्रहरीलाई निर्देशनः 'अरुले सहयोगमा दिएको चाउचाउ र पानी समेत नखानुहोला' https://t.co/dJclRhjRni,Mar 28 2020 
लकडाउनमा रक्सी पसल खोल्न माग गर्दै ऋषि कपूरले भने: मदिराले तनाव कम गर्नेछ https://t.co/wgTm0GBdoC,Mar 28 2020 
लकडाउनपछि मुस्ताङमा अलपत्र परेका पर्यटकको बसबाट गरियो उद्धार https://t.co/mSR2a9jfaG,Mar 28 2020 
मुर्गा बनाउनदेखि ठिङ्ग्रिङ्ग उभ्याउनसम्मका सजायँ : प्रहरी कर्मचारीलाई नै दिइएन हिँड्न https://t.co/sMqBIMFIEC,Mar 28 2020 
सुन्दरमणि दीक्षितले जतिखेर सचेत गराउन खोजेका थिए आलोचनाको सिकारमात्र भए - आतंकित बनाउने डाक्टर भन्दै। उनले जसरी त्यतिखेर हवाई अड्डा र यातायात बन्द गरिहाल्नुपर्ने बताएका थिए - सत्ताबाट पोषिलाई त्यो पच्ने कुरा थिएन। https://t.co/eGd422IQga,Mar 28 2020 
कोरोना भाइरसको औषधि बनाउन चार वटा मेडिसिन टेस्ट गरिँदै स्पेन र नर्वेमा दुई विरामी छनौट https://t.co/4GhFaLiQM0,Mar 28 2020 
लकडाउनका कारण राजविराजमा ग्यासको अभाव हुँदा उपभोक्ता मारमा https://t.co/KKlQO0fufI,Mar 28 2020 
महाकाली बगरमा अलपत्र दुई सय बढी नेपालीको ४ दिनपछि उद्धार https://t.co/ZfWLIYfPt0,Mar 28 2020 
'उहाँले मलाई नमूना देखाएर सोध्नु भएको हो। मैले नेपाल मेडिकल काउन्सिलको गाइडलाइन अनुसार ठीक छ भन्ने धारणा राखेको हुँ' कोइरालाले पहिलोपोस्टसँग भने। https://t.co/dFt0yW6tey,Mar 28 2020 
'लकडाउन'बाटै भाइजर बनाउँदै सेवा गर्दै एउटा सिङ्गो बस्ती https://t.co/6XnJ5cnO8G,Mar 28 2020 
सडकमा खटिएका प्रहरीलाई खाना बाड्दै हिँड्ने त साथी पो परेछन् ! स्यावास सेराप [ब्लग] https://t.co/KngjoDPUNb,Mar 28 2020 
सिमरामा बन्यो प्रदेश २ कै नमुना आइसोलेसन र क्वारेन्टाइन वार्ड https://t.co/1d26zamR5F,Mar 28 2020 
एकै विमानमा नेपाल आएका दुई जनामा देखियो कोरोना : भिस्तारा एयरबाट मार्च २० मा आएका यात्रुको पनि ट्रेसिङ हुँदै https://t.co/uLUaUci8cb,Mar 28 2020 
लकडाउनमा यस्तो देखियो पर्यटकीय शहर पोखरा https://t.co/JF4hJyugW0,Mar 28 2020 
पाँचौं कोरोना भाइरसको संक्रमण : बेल्जियबाट कतार हुँदै आएकी युवतीमा देखियो पोजेटिभ https://t.co/yJDmBqnfDC https://t.co/ylbUd3JkLq,Mar 28 2020 
नेपालमा पाचौ केस : कोभिड १९ को अर्को केस थपिएको छ https://t.co/yJDmBqnfDC,Mar 28 2020 
धारिलो हतियारधारीबाट बच्न ल्याएको उपकरण लकडाउनमा काम लग्यो कसरी गर्छ यसले काम? https://t.co/ydFXNFFLb5,Mar 28 2020 
कोभिड-१९ विरुद्धको लडाईमा बेलारुसका राष्ट्रपति भन्छन् 'भोड्का ढलाउ अनि काममा जाउ' : फुटबल लिग पनि जारी https://t.co/2y6Ji1jMMs,Mar 28 2020 
मैदानमा चिकित्सक र सुरक्षाकर्मी भरोसा कसले दिने? [सम्पादकीय] https://t.co/eGd422IQga,Mar 28 2020 
कोरोना संक्रमित धनगढीका युवाको स्वास्थ्यबारे चिकित्सकले लिए जानकारी ‘उनको उपचारमा कुनै कमजोरी भएको छैन’ https://t.co/RfoQhypMo6,Mar 28 2020 
सरकारले लकडाउन घोषणा गरेको पाँच दिन भएको छ तर बजारमा अझैं फ्रेस तरकारी भित्रिरहेको छ https://t.co/Oqv6cH1t8J https://t.co/sL0PZiNhr8,Mar 28 2020 
‘क्वारेन्टाइन अभियान नाट्य उत्सव– २०७६’ : आज साँझ ५ बजे फेसबुकमै हेर्नुस् नाटक ‘राजेन्द्रलक्ष्मी’ https://t.co/4mnWeB8ZQ4,Mar 28 2020 
लकडाउनका बेला : औषधि घरमा फोनकै भरमा https://t.co/PU5wjgnydx,Mar 28 2020 
‘रसुवालाई कोरोनाको डर छैन’ https://t.co/uhZPR92NEP,Mar 28 2020 
कोरोना रोकथामका लागि सुदूरपश्चिम प्रदेशको ४० करोड आयस्रोत गुमेकालाई राहत प्याकेज ल्याइने https://t.co/IYCIPEyBlE,Mar 28 2020 
सन राइज बैकले शुक्रराज ट्रपिकल तथा सरुवा रोग अस्पताललाई व्यक्तिगत सुरक्षा सामाग्री पिपिइ हस्तान्तरण गरेको छ https://t.co/DgyALMTAxo,Mar 28 2020 
कोभिड-१९ को उपचारमा केन्द्रित हुन प्रादेशिक अस्पतालले बन्द गर्‍यो अत्यावश्यकबाहेकका सेवा https://t.co/NtfMAnGCwh,Mar 28 2020 
धनगढीमा कोरोना संक्रमित युवाद्वारा उपचारमा चिकित्सकले बेवास्ता गरेको आरोप ‘हिजोदेखि न त पानी दिए न त कोही सोध्न नै आए’ https://t.co/8sp2chQfUz,Mar 28 2020 
बेलायतमा नेपाली मूलका एकै परिवारका दुई जनाको निधन https://t.co/hoR8EvMZdF,Mar 28 2020 
RT @PahiloPost: आविष्कार केन्द्रको पीपीई मेडिकल काउन्सिलको गाइडलाइन अनुसार ठीक छ भनेको हुँ : डाक्टर भगवान कोइराला https://t.co/dFt0yW6tey,Mar 28 2020 
श्रमिकहरुका लागि विशेष राहत प्याकेज ल्याउनुपर्छ : प्रचण्ड https://t.co/17tP83CWwF,Mar 28 2020 
आविष्कार केन्द्रको पीपीई मेडिकल काउन्सिलको गाइडलाइन अनुसार ठीक छ भनेको हुँ : डाक्टर भगवान कोइराला https://t.co/dFt0yW6tey,Mar 28 2020 
कोरोना संक्रमणको आशंका भएका विरामी लिन गएको चिकित्सकसहितको विमान अन्डरसुट छैन ठूलो क्षति https://t.co/gsd2AKNFkH,Mar 28 2020 
'पर्दा पछाडिका हिरो'लाई सलमान खानको सहयोग https://t.co/rS2g0Lh8Go,Mar 28 2020 
३ सय ४ युरोपेली नागरिक लिएर उड्यो कतारको चार्टर विमान आजै अर्को पनि फ्लाइट हुँदै https://t.co/uWMtjEGKbS,Mar 28 2020 
कोभिड-१९ बारे पहिलो अनुसन्धान गर्ने बैज्ञानिक भन्छन् : संक्रमित सबैलाई आइसोलेसन र शंका लागे क्वारेन्टाइनमा राख्नै पर्छ https://t.co/eo7PzEKPVs,Mar 28 2020 
न्युयोर्कमा फैलिँदो कोरोनाले प्रति १७ मिनेटमा एक जनाको ज्यान लिँदै अमेरिकामा एक लाख नाघ्यो संक्रमित https://t.co/opWYMka2ZQ,Mar 28 2020 
पूर्व डिआइजी रमेश खरेलको कोभिड-१९ विरुद्ध लड्न सरकारलाई ६ सुझाव https://t.co/gjUv9G7dUp,Mar 28 2020 
इटलीमा कोरोनाको कहर: के सन सिरो स्टेडियममा भएको खेलबाट फैलिएको थियो भाइरस ? https://t.co/PvoI9tYFKy,Mar 28 2020 
लकडाउन कडा बनाउन प्रहरीको नयाँ रणनीति : अब सम्झाउने होइन समाउने र थुन्ने एका बिहानै समातिए ३ सय १५ जना https://t.co/OXoPkgy6jX,Mar 28 2020 
छ फ्लाइटबाट ९५ जना विदेशीको लुक्लाबाट उद्दार https://t.co/KLC9zXwVU4,Mar 28 2020 
कसरी आइरहेको छ काठमाडौंमा फ्रेस तरकारी? https://t.co/Oqv6cH1t8J,Mar 28 2020 
जर्मनीमा रहेकी नेपाली नर्सको डायरी : यतिखेरको सामान्य रुघाखोकी पनि जनयुद्धकालका माओवादी झै https://t.co/mSOpIM58Qo,Mar 28 2020 
कोरोना संक्रमण देखियो भन्दै भ्रम फैलाउने पक्राउ https://t.co/9WWINljAvI,Mar 28 2020 
अनि प्रहरी आफैले बनायो सुरक्षित रहन मिल्ने मास्क... https://t.co/j3prklVcqU,Mar 27 2020 
वीरगंज-पथलैया करिडोरमा खाद्यान्न ढुवानी गर्न राति ९ बजेदखि बिहान ७ बजेसम्मको समयसीमा https://t.co/7LWrtRhtWQ,Mar 27 2020 
२४ सै घण्टा सशस्त्र प्रहरीको उच्च निगरानीमा सीमा क्षेत्र https://t.co/RUeXPKrLK6,Mar 27 2020 
कोरोना संक्रमित युवतीसँगै एउटै विमानमा आएका दम्पतीको रिपोर्ट आयो नेगेटिभ https://t.co/I5y8sK6urf,Mar 27 2020 
लकडाउनको उल्लघंन गरी चलाइएका २ सय सवारी साधन प्रहरीको नियन्त्रणमा ग्रामिण भेगका पसलमा भिडभाड https://t.co/GoRv5VZmEI,Mar 27 2020 
नेपालमा हालसम्म चार जनामा कोरोनाको संक्रमण : चारै जना विदेशबाट फर्किएका https://t.co/TRCZlFCP81,Mar 27 2020 
तत्कालका लागि न्यूनतम आवागमन खुला गर्ने उच्चस्तरीय समन्वय समितिको निर्णय https://t.co/t0gcPHIFQF,Mar 27 2020 
भारतबाट फर्किएका ३६ जना एन्फा एकेडेमी रौतहटको क्वारेन्टाइनमा https://t.co/jpShwszg3z,Mar 27 2020 
विद्युतका ३८ लाख ग्राहकलाई महसुलमा २० प्रतिशत छुट https://t.co/Q2DTI2Gawo @BarshamanPun1,Mar 27 2020 
साइप्रसमा करिब १२ हजार नेपाली अलपत्र खानका लागि नेपालबाट प्रतिव्यक्ति तीन सय युरो पठाउन पाउने बाटो खुल्यो https://t.co/wrnTsazf23,Mar 27 2020 
लकडाउनका कारण रित्तियो नाम्लो प्रभावित भरियाले पाए राहत https://t.co/bQuu8Vve2s,Mar 27 2020 
