Tweet,Date
Government figures showed 1019 people had died as of 1700 GMT on Friday while the number of confirmed cases stood at 17089 on Saturday morning up 17.5% on a day earlier. https://t.co/vztj5a0W8t,Mar 28 2020 
He further shared that an additional call center has been added today to make the public aware of COVID-9. With this two call centers (1115 and 1133) have been in place to disseminate information about the coronavirus. https://t.co/0eiPzoZLrG,Mar 28 2020 
It has come to the light that the second and the fifth COVID-19 infected persons had shared the same Qatar Airways flight on March 17. #COVID19 #Nepal #StayHomeStaySafe https://t.co/qdwaxmJX2T,Mar 28 2020 
“We will build a total of 45 hand wash stations in the village this week. Each station will have liquid sufficient for two-week lockdown” the office said in a statement. https://t.co/SArIuihaQK,Mar 28 2020 
While the U.S. now leads the world in reported infections — with more than 104000 cases — five countries exceed its roughly 1700 deaths: Italy Spain China Iran and France. https://t.co/7cIKU2Uhqj,Mar 28 2020 
Six people from the district who had travelled on the same flight from Qatar along with a 19-year-old woman testing positive for the virus have already come into contact with the authority and are in quarantine. https://t.co/5QZ5GCR9Ot,Mar 28 2020 
Abe made the comments at a news conference in Tokyo. https://t.co/ISiomqJKyH,Mar 28 2020 
A 19-year-old girl who traveled to Nepal from Belgium tested positive for coronavirus according to Ministry of Health. https://t.co/2Qa493I5Ry,Mar 28 2020 
After being cut-off from the rest of the country for two months the reopening of Wuhan where the epidemic first erupted in late December marks a turning point in China’s fight against the virus. https://t.co/70ICiQyVs0,Mar 28 2020 
Foreign embassies and local travel agents have been urging Nepal’s government to allow these rescue flights to the Everest region since the country imposed a lockdown last week. https://t.co/jzRiatJ7jo,Mar 28 2020 
The decision comes a day after a 34-year-old man from Dhandgadhi tested positive for coronavirus. He is currently undergoing treatment at Seti Provincial Hospital. This is the fourth confirmed COVID-19 case in the country. https://t.co/vJw67UAvSW,Mar 28 2020 
Cases rose by 6294 compared with the previous day while the death toll climbed by 55 the tally showed. https://t.co/47oXaxGzZz,Mar 28 2020 
#CoronaVirusUpdates #lockdown #Nepalupdates #globalupdates https://t.co/L6a69GIEgo,Mar 28 2020 
Nepal Airlines’ RA 4171 aircraft has left for Guangzhou China to bring necessary medical equipment at 12:31 pm on Saturday. https://t.co/zjpvYc0zDt,Mar 28 2020 
Amid the shortage of PPE throughout the country the center led by Mahabir Pun started manufacturing PPE since last Thursday after getting approval from the government. https://t.co/5vt2wSoMEC,Mar 28 2020 
The daily tally brought the country’s total infections to 9478 according to the Korea Centers for Disease Control and Prevention (KCDC). The death toll rose by five to 144. https://t.co/zSmM1zG6jd,Mar 28 2020 
All crew members on the aircraft are safe according to Santosh Adhikari Deputy Manager at the airport. The Nepalgunj-bound flight from Kathmandu met with the accident in course of landing. https://t.co/CU97Tzcgmo,Mar 28 2020 
The online conference entitled “COVID19: Addressing Risk Preparedness In Public Health and The Economy” took place in the wake of the WHO warning that the South Asian countries including Nepal face great threats of the pandemic. https://t.co/mxgShum5uK,Mar 28 2020 
An aircraft of Nepal Airlines skidded off the runway at Nepalgunj airport on Saturday. https://t.co/CU97Tzcgmo,Mar 28 2020 
#BREAKING: An aircraft of Nepal Airlines skidded off the runway at Nepalgunj airport a while ago. https://t.co/6zTawEmCJW,Mar 28 2020 
#OPINION: It is already clear that in the coming weeks there will be heightened uncertainty about global growth prospects oil prices and financial-market volatility https://t.co/du2v0Sxwyh,Mar 28 2020 
Despite the government's claim to maintaining smooth supply of the essentials even during the lockdown some flaws in mechanism--mostly lack of coordination among the government authorities—have led to shortfall of goods in the market. https://t.co/JgikTYSzAe,Mar 28 2020 
According to the press release issued by KOICA the facility has been set up to support the Nepal government to prevent the spread of coronavirus. https://t.co/Kxu6xL0x6O,Mar 28 2020 
#Opinion Here is a list of online education classes and entertaining sites which are free and which will help your children learn and have fun during this crisis period https://t.co/vzEFkN6vKr,Mar 28 2020 
The induction stoves were gifted by China some four and half years ago when the nation was reeling under acute shortage of fuel due to the Indian blockade. #COVID19 #Nepallockdown #InductionStoves https://t.co/JHAXAFZ6yD,Mar 28 2020 
DSP Bijaya Pandit said that 35-year-old Kumar Rai of Damak-1 was taken under control on the charge of spreading the false rumour. #COVID19 https://t.co/Yv39n6BDIN,Mar 28 2020 
The government has set to provide 20% discount on the electricity bill to 3.8 million consumers who use less than 150 units of electricity per month. https://t.co/PqTubGibMr,Mar 28 2020 
Thousands of others are simply on their own - many of them are illiterate and unable to realize the gravity of the impending risk of the deadly virus. Locals have been lamenting this situation. https://t.co/EF3oZ5u5RG,Mar 28 2020 
President Donald Trump signed an unprecedented $2.2 trillion economic rescue package into law Friday. #DonaldTrump #Covid19usa https://t.co/tTLOt6k0di,Mar 28 2020 
Though private hospitals in Kathmandu have set up fever clinics to test suspected COVID-19 cases as directed by the government medics are collecting swab samples and keeping the suspected cases in isolation without wearing PPE. #COVID19 #Nepal #PPE https://t.co/ukDnmlmN1Y,Mar 28 2020 
It is not known whether the disease is spreading its tentacles in the towns and villages and this state of ignorance could turn out to be costly Dr Pun Said. #COVID19 #TEST #Nepal #StayAwareStaySafe https://t.co/6rPFTEM2hj,Mar 28 2020 
“We have no better alternative for the time being than extending the lockdown period. The government may take a decision to this effect in a few days” said a senior government official. #COVID19 #Nepallockdown #StayHomeSaveLives https://t.co/FHnPX6j0J5,Mar 28 2020 
Johnson said on Friday he would still lead the country’s response to the outbreak but would be holed up inside a borrowed office within the nation’s seat of government. #COVID19 #BorisJohnson https://t.co/QrbUTJ9LKi,Mar 27 2020 
On Thursday PM Oli was admitted to TUTH after he complained of chest pain and irregularities in his heartbeats. https://t.co/rnGlzXQsqX,Mar 27 2020 
All professional players at Barcelona including six-times world player of the year Lionel Messi as well as non-playing staff will face a compulsory wage reduction during the period of lockdown https://t.co/5A80HOrsce,Mar 27 2020 
Less than two hours earlier Prime Minister Boris Johnson announced that he too had tested positive for the virus. https://t.co/qfzfJpEoER,Mar 27 2020 
Our picks: The best of 21st century’s non-fiction #Books #goodread https://t.co/m6aTbCFS94,Mar 27 2020 
The 34-year-old man is undergoing treatment at Seti Provincial Hospital Dhangadhi. https://t.co/nIcC4xdepx,Mar 27 2020 
#FLASH: COVID-19 cases climbed to 4 in Nepal after a person from Dhangadhi tested positive for coronavirus today the Ministry of Health confirmed.,Mar 27 2020 
Pregnancy in the times of corona. #COVID19 #coronavirus https://t.co/VhLMxHlU0k,Mar 27 2020 
The NOC is now distributing cooking gas cylinder weighing 7.1 kg to consumers and has fixed the price of per cylinder at Rs 687.50 in different places including Kathmandu Valley. https://t.co/i2M2CnJiQw,Mar 27 2020 
Up to 10000 tourists are believed to be stranded in Nepal after the government ordered a complete lockdown that halted all flights and road travel to prevent the spread of the virus the country’s tourism board said. https://t.co/xjIQzrekVZ,Mar 27 2020 
Weight loss mistakes. #Gym #health https://t.co/xnQdFzTaEv,Mar 27 2020 
Pun who started manufacturing PPE since last Thursday said he would hand over the safety equipment the government and hospitals free of cost. https://t.co/7m7IxOL3gF,Mar 27 2020 
UK Prime Minister Boris Johnson has said that he has tested positive for coronavirus. https://t.co/Qx6FfggRoV,Mar 27 2020 
#FLASH: UK says Prime Minister Boris Johnson has tested positive for the new coronavirus.,Mar 27 2020 
NC has urged the government to launch relief package to address the concerns of people from various walks of life who have been adversely affected by the lockdown. #COVID2019 #Nepallockdown #NepaliCongress https://t.co/bWT1dl1x9P,Mar 27 2020 
The victim's family members and neighbors knocked the door of District Police Office after Area Police Office at Pakadi did not heed their complaint. Deputy Superintendent of Police Suman Malla said that investigation against the case is underway. https://t.co/FpMOX9CNX3,Mar 27 2020 
3D video shows the extent of lung damage in coronavirus patient (with video) #COVID19 #coronavirus #nepal https://t.co/95nfZKOwbf,Mar 27 2020 
“What we’re seeing is that there was rapid and progressive damage to the lungs so that he needed higher levels of support from that ventilator and it got to the point where he needed maximal support from the ventilator” said Dr Keith Mortman. #COVID2019 https://t.co/95nfZKOwbf,Mar 27 2020 
Hundreds of trekkers are stranded in trekking routes mainly in the Everest region Annapurna region and Jomsom after government enforced a lockdown for a week suspending both domestic and international flights and long-haul passenger vehicle services. https://t.co/29ffTLMkvb,Mar 27 2020 
The United States now has the most coronavirus cases of any country with 84946 infections and 1259 deaths. Hospitals in cities like New York and New Orleans struggle to cope with the wave of patients. https://t.co/tYPbjdDdkc,Mar 27 2020 
At least 1204 Americans have died from COVID-19 which has proven especially dangerous to the elderly and people with underlying chronic health conditions Reuters’ tally showed. #COVID2019 #USA #StayHomeSaveLives https://t.co/z2fpLBIA47,Mar 27 2020 
Streets were silent across Indian cities and towns on the second day of a three-week 24-hour shutdown as people heeded Prime Minister Narendra Modi’s call not to step out of homes except in emergencies or to buy food and other necessities. https://t.co/4sOrRGgBsh,Mar 27 2020 
“At this hour of physical distancing let's not forget those who are in need of care & support. With kindness & responsibility humanity will prevail. Stay safe.” @IamSandeep25 #COVID2019 #Nepallockdown #StaySafe https://t.co/SB1HoSIYob,Mar 27 2020 
At this time of chaos about two percent of the world's female population would be pregnant. Read the full article here: https://t.co/VhLMxH4iBK #newborn #baby #corona #test #health #myRepublica https://t.co/3HwIzkXVBo,Mar 27 2020 
Earlier on Wednesday a High-Level Coordination Committee formed to prevent and control the spread of coronavirus had decided to facilitate concerned countries to rescue their nationals stranded in Nepal. https://t.co/9z7tcbRSgt,Mar 27 2020 
And with gyms and fitness centers closing their doors getting our daily workouts and thus staying in shape have become next to impossible. But it needn’t be that way. https://t.co/aaTJOmQ80m,Mar 27 2020 
After washing your dishes with regular dishwashing soap soak them in a mixture of one tablespoon of unscented chlorine bleach poured into one gallon of water for two to three minutes. Then let these dishes air dry for an additional five minutes. https://t.co/IShpfdlCFu,Mar 27 2020 
“I can finally get around to doing things I actually enjoy. My children are home and I’ve been spending more time making new items for lunch every day. Since there’s still a lot of time before colleges reopen” she adds. https://t.co/egC6VSmm6O,Mar 27 2020 
Community engagement and participation was identified as an important element in any anti-COVID-19 strategy to augment the large scale emergency measures undertaken by the governments in the SAARC region India's Ministry of External Affairs said today. https://t.co/brrbvKsiPM,Mar 27 2020 
Prime Minister KP Sharma Oli was admitted to Tribhuvan University Teaching Hospital late Thursday with complaints of chest pain and breathing difficulty. https://t.co/fwcuC4TEAJ,Mar 27 2020 
“The G20 is committed to do whatever it takes to overcome the pandemic” along with the World Health Organization and other international institutions they said. https://t.co/anYCHY1Wmt,Mar 27 2020 
