Tweet,Date
अहिलेसम्म कति जनाको भयो कन्ट्याक्ट ट्रेसिङ? मन्त्रालय नै बेखबर https://t.co/I2plt8oVA4,Mar 28 2020 
एउटै प्लेनमा आएका थिए दोस्रो र पाँचौं संक्रमित https://t.co/GfI28sjqdg,Mar 28 2020 
तीन महिनामा जम्मा ८ सय ७५ जनाको मात्र कोरोना परीक्षण https://t.co/GIsODlFfu8,Mar 28 2020 
बिपी प्रतिष्ठान धरानमा आजैबाट कोरोना परीक्षण सुरु हुन्छ : प्रवक्ता डा देवकोटा https://t.co/1asHLahtGk,Mar 28 2020 
पाँचौ कोरोना संक्रमित युवती बागलुङकी https://t.co/zd3yyzFQVV,Mar 28 2020 
नेपालमा पाँचाै कोरोना संक्रमित फेला https://t.co/Gnl5ygb4pE,Mar 28 2020 
कोरोना भाइरसको कहर र राज्यको दायित्व https://t.co/CF1SdKLTjj,Mar 28 2020 
कोरोना परीक्षणको नमुना लिन नेपालगञ्ज गएको जहाज दुर्घटनामा सबै सकुशल https://t.co/B1WqaNnxi3,Mar 28 2020 
कोरोना संक्रमित धनगढीका युवाको बयान- शवदाह छेउमै रहेको कक्षमा एक्लै राखिएको छ https://t.co/NTcjAdevsX,Mar 28 2020 
अहिले महावपत्तिमा जुट्छौं भोली स्वास्थ्यको छुट्टै ऐन बनाउनु होला कर्मचारी समायोजनको प्रथम वार्षिकीका उपलक्ष्यमा सरकारलाई बधाई https://t.co/8AjPO0HJjB,Mar 28 2020 
धनगढीका कोरोना सक्रमितको विमानदेखि रिक्सासम्मको यात्रा https://t.co/ANkxa3wQWQ,Mar 28 2020 
नेपालगञ्जबाट नेपाल एयरलाइन्सले कारोना टेष्टको लागि संकलन भएको नमुना ल्याउँदै https://t.co/Ojts1vmqYF,Mar 28 2020 
कोरोनाबारे जानकारी दिन आजदेखि नयाँ वेब पोर्टल एप्लिकेशन https://t.co/Boh6JUcRdC,Mar 28 2020 
पिपिई नहुँदा कोरोना संक्रमित परिवारका सदस्यलाई एम्बुलेन्सले बोक्न मानेनन् https://t.co/QmyvaBSxa3,Mar 28 2020 
मेडिकल सामान लिन नेपाल एयरलाइन्सको जहाज आज चीन जाँदै https://t.co/CKAL7Glm6K,Mar 28 2020 
दुबईबाट आएका थिए धनगढीका कोरोना संक्रमित युवा https://t.co/Qh3KeX8t8H,Mar 28 2020 
कोरोना अपडेट : मृतकको संख्या २७ हजारभन्दा बढी १ लाख ३१ हजार निको भए https://t.co/IjS1bJQfGP,Mar 28 2020 
कोरोना संक्रमणबाट इटालीमा ज्यान गुमाउनेको संख्या ९ हजार नाघ्यो https://t.co/jb2vAODOp5,Mar 28 2020 
कोरोना राहत प्याकेज अमेरिकाको दुवै सदनबाट पारित https://t.co/xv1IW2QenI,Mar 28 2020 
कोरोना संक्रमण : हामीले के बुझ्ने र के गर्ने? https://t.co/ynJU4SDO8C,Mar 28 2020 
अस्पताल वा डाक्टर कसैले पनि बिरामी हेर्दिन भन्न मिल्दैन : सरकार पश्चिमाञ्चल अस्पताल पोखरा कोरोनाको डेडिकेडेड अस्पताल https://t.co/h07xfxmt9J,Mar 27 2020 
पिपिई लिन शनिबार दिउँसो चीन जाँदै निगमको वाइडबडी जहाज https://t.co/32J1A3cd8m,Mar 27 2020 
प्रधानमन्त्री ओली अस्पतालबाट डिस्चार्ज https://t.co/ytfdQZtitU,Mar 27 2020 
BREAKING : धनगढीमा भेटियो चौथो कोरोना संक्रमित बिरामी https://t.co/mDOKWk7tI7,Mar 27 2020 
बेलायती प्रधानमन्त्री जोन्सनलाई कोरोना भाइरस संक्रमण https://t.co/qr9ydATQJV,Mar 27 2020 
नेपालमा ८०२ जनाको कोरोना परीक्षण नयाँ संक्रमित भेटिएनन् दुई दिनमा १ सय १५ जनाको मात्रै परीक्षण https://t.co/rfQWQykwsI,Mar 27 2020 
संक्रमित दुई जनाको सम्पर्कमा आएकामा कोरोना लक्षण देखिएको छैन : डा कार्की - तर सम्पर्कमा आएकोहरुको संख्या र परीक्षणको जानकारी सार्वजनिक भएन https://t.co/4Z20hXWuxY,Mar 27 2020 
काठमाडौंका ३ अस्पतालमा १३ जना आइसोलेसनमा : प्रवक्ता डा देवकोटा https://t.co/CakVyAHGSM,Mar 27 2020 
कान्तिमा भर्ना भएका ८ जनामा कोरोना देखिएन https://t.co/3H2JKxRzgp,Mar 27 2020 
कोरोना भाइरसः मृत्यु हुनेको संख्या २४ हजारभन्दा बढी https://t.co/w3fiLX96EG,Mar 27 2020 
कोरोना सन्त्रास :  वारेसनामा लेख्दै  अमेरिकी डाक्टरहरु https://t.co/IG5ngu5MOl,Mar 27 2020 
दुईदिन अघि बनाइएका ८ वटा समिति भंग गरी किन बनाइयो पाँच सदस्यीय नयाँ समिति? https://t.co/C3ca71MTNi,Mar 27 2020 
स्वास्थ्यमन्त्रीकै अगाडि स्वास्थ्य सचिव र महानिर्देशकबीच झगडा https://t.co/AmITDzYsi8,Mar 27 2020 
कोरोना भाइरसबाट हुने मृत्युदर कति? कसलाई कति खतरा? विज्ञ भन्छन्- कुनै पनि देशको स्वास्थ्य क्षमता अनुसार मृत्युदर फरक हुन्छ https://t.co/orOxI4dBEn,Mar 27 2020 
राष्ट्रलाई स्वाथ्यकर्मी स्वाथ्यकर्मीलाई हौसला र पिपिई आवश्यक छ https://t.co/CLhH6hNuz5,Mar 27 2020 
मुटुमा समस्या देखिएपछि अस्पताल पुगेका प्रधानमन्त्रीको शुक्रबारै डिस्चार्ज हुने https://t.co/EOIvsrft8a,Mar 27 2020 
कोरोना संक्रमित तेस्रो युवा अस्पताल पुग्नु अघि साझा यातायातमा घुमेका थिए सामाखुसीको होटलमा बसेका उनले एउटा बैंकको म्यानेजरलाई पनि भेटेका थिए https://t.co/hLtXUi0lTs,Mar 27 2020 
