Tweet,Date
A 17-year-old teenage girl was reportedly raped in Katahariya Municipality-7 of Rautahat district on Thursday - https://t.co/KpcksGKpy4,Mar 28 2020 
Abbott Laboratories said on Friday it won US marketing approval for a diagnostic test for the #coronavirus that can deliver results to patients within minutes and be used in physicians offices and urgent care clinics as well as hospitals. https://t.co/q9AU0dwzjt,Mar 28 2020 
Lockdown Day 5: Real heroes of the pandemic Photos: @GautamSkanda - https://t.co/czSuzs18vR,Mar 28 2020 
“I was shocked to learn that I had contracted infection when the sample of my throat swab tested positive for COVID-19” the 34-year-old patient who was diagnosed on Friday shared from the isolation ward of Seti Provincial Hospital Dhangadhi - https://t.co/qGBiqWnJCc,Mar 28 2020 
The government has launched a web portal to provide information and updates related to COVID-19 on Saturday - https://t.co/k25pjSScbg,Mar 28 2020 
Supplies of perishable agricultural products have been affected since the government imposed a nationwide lockdown to prevent the coronavirus from spreading in the country - https://t.co/wNXwyYFpl3,Mar 28 2020 
Fifth person tests positive for #coronavirus infection in Nepal health ministry confirms - https://t.co/x1ddTROwsC,Mar 28 2020 
Eight municipal and rural municipal authorities along with youth clubs in Lamjung have built quarantine facilities of 578-bed capacity to tackle COVID-19 cases if found - https://t.co/4qEQ3eSPVP,Mar 28 2020 
Policeman uses a multi-functional device to arrest a lockdown violator maintaining a distance in Kathmandu Photo: @GautamSkanda - https://t.co/Jx4hjLvOcB,Mar 28 2020 
While countries across the world have unleashed unprecedented stimulus packages to help cushion the economic blow from the coronavirus pandemic the government’s reluctance to announce such packages has made the domestic private sector edgy - https://t.co/2a3b2jdJ1G,Mar 28 2020 
Nepal Airlines Corporation the national flag carrier has departed for China this afternoon to bring medicines and other medical equipment for the treatment of #COVID19 - https://t.co/DBDr5EhLsF,Mar 28 2020 
Kathmandu Metropolitan City has announced relief package for daily wage earners living inside the city as fear of food crisis looms large among people employed in the informal sector - https://t.co/1BThkm7B2F,Mar 28 2020 
A Nepal Airlines aircraft has departed for China to collect medical supplies required for the treatment of #COVID19 - https://t.co/mSJB0LM1eU,Mar 28 2020 
An aircraft of Nepal Airlines Corporation (NAC) skidded off the runway at Nepalgunj Airport in Banke district today - https://t.co/jPclzn9x9c,Mar 28 2020 
Nepal Tourism Board (NTB) has continued the rescue flights today for stranded passengers across the country - https://t.co/5oXJzl2q2G,Mar 28 2020 
A person spreading rumours in social media that coronavirus infection has been found in Jhapa district has been arrested from Damak on Friday evening - https://t.co/oC7pDI0fup,Mar 28 2020 
Nepal’s jail administration has put French national Charles Sobhraj a murder convict serving jail sentence in Nepal on the list elderly prisoners awaiting waiver of jail sentence - https://t.co/aCypIPevGY,Mar 28 2020 
Wall Street stocks tumbled on Friday ending a massive three-day surge after doubts about the fate of the US economy resurfaced and the number of #coronavirus cases in the country climbed - https://t.co/Mc6yNqv7eh,Mar 28 2020 
Nepali Congress President Sher Bahadur Deuba @DeubaSherbdr issued a press release calling on govt to immediately announce economic relief package for daily wagers and small medium and large business houses - https://t.co/DHfMJlZdBz,Mar 28 2020 
.@PM_Nepal KP Sharma Oli who was admitted to Manmohan Cardiothoracic Vascular and Transplant Centre of Tribhuvan University Teaching Hospital on Thursday night after he complained of rapid heartbeat was discharged from the hospital on Friday evening - https://t.co/JBeW3PmPJ6,Mar 28 2020 
A youth returnee from Dubai has tested positive for the coronavirus contagion becoming the fourth Nepali to have contracted the disease that has forced more than three billion people across the world to remain under lockdown: @ShabiDhakal 's report- https://t.co/iC49Ss4mpx,Mar 28 2020 
PM Oli has been discharged today after around 24 hours under observation following health issues - https://t.co/64uOxEHfPl,Mar 27 2020 
Both the COVID-19 patients in isolation at Teku recovering no truth to rumours about discharge: Sukraraj Hospital - https://t.co/2DCWrbFNsD,Mar 27 2020 
Ward chair distributes food items in Dharan - https://t.co/tAZQ5G9J1o,Mar 27 2020 
Ministry of Health and Population has confirmed that a person in Dhangadhi has tested positive for COVID-19 making this the third active and fourth overall case of the disease in Nepal - https://t.co/l7MIHthLkw,Mar 27 2020 
Tendulkar who also took part in Australia’s bushfire charity game in February contributed 2.5 million rupees each to his state government of Maharashtra and the Prime Minister’s relief fund the source told Reuters. - https://t.co/sVcB9OLrjF,Mar 27 2020 
.@BorisJohnson tweeted a video to share he is self-isolating but will continue to lead the national fightback against coronavirus - -https://t.co/GV0n9WVvfy https://t.co/bc1CLroPIW,Mar 27 2020 
The Department of Customs has formally opened the Tatopani and Rasuwagadi customs points from Thursday after the government took a decision to open these border points on Wednesday - https://t.co/eQVPw85Ehq,Mar 27 2020 
British Prime Minister Boris Johnson has tested positive for coronavirus and is self isolating but will still lead the government’s response to the outbreak - https://t.co/GV0n9Xd676,Mar 27 2020 
To promote the use of electric induction stoves Nepal Electricity Authority (NEA) is offering a discount of 20 per cent on electricity tariffs for consumers who use up to 150 units per month - https://t.co/VoCcKZ470t,Mar 27 2020 
Mainland China reported its first locally transmitted coronavirus infection in three days although cases involving travellers from overseas continued to dominate the total number of new cases - https://t.co/PQ8sE4urZo,Mar 27 2020 
The medical supplies which China had earlier announced to provide to Nepal are reaching Tatopani transit point along the Nepal-China border today - https://t.co/ng6kHishQ9,Mar 27 2020 
Damauli Hospital in Tanahun district has acquired 10 sets of personal protective equipment (PPE) for emergency cases of possible coronavirus outbreak - https://t.co/PLTctIBg68,Mar 27 2020 
B&C Teaching Hospital and Research Centre has offered its services to the government for treatment of #COVID19 related cases at a time when the threat of coronavirus infection in the country is getting very real - https://t.co/Hf0cIpqKFI,Mar 27 2020 
In a bid to curb the potential outbreak of COVID-19 Bhimad Municipality of Tanahun district has quarantined 98 persons returning from 11 foreign countries - https://t.co/bWIixJ4shf,Mar 27 2020 
“As the number of COVID-19 cases in South Asia soars the region’s leaders must pay special attention to the most vulnerable and marginalised" - https://t.co/z6ajLVwtvz,Mar 27 2020 
The United States’s caseload of #coronavirus infections surged to the most in the world its capital reported more infections as Italy shut most of its industry and masses of Indian labourers received food rations after a lockdown put them out of work - https://t.co/76CDPgFL5e,Mar 27 2020 
